Banco;Sector;Entidad Responsable;Bpin;Nombre Proyecto;Estado;Horizonte;Valor Total;Localizaciones
Territorio;Vivienda, Ciudad Y Territorio;San Pedro de Urabá,Antioquia;202500000011422;Apoyo A La Gestión Pública Local En La Implementación De Acciones Orientadas A La Planeación, Desarrollo, Estudios, Diseños Para El Ordenamiento Territorial Y Desarrollo Urbano Y Rural Del Municipio   San Pedro De Urabá;En Ejecución;2025 - 2025;30000000,00;1
Territorio;Transporte;Puerto Triunfo,Antioquia;202500000011390;Mejoramiento De Las Condiciones De Operación Y Funcionamiento De La Secretaría De Tránsito Y Transporte En El Municipio De  Puerto Triunfo;Viable;2025 - 2025;43330000,00;1
Territorio;Transporte;Puerto Triunfo,Antioquia;202500000011384;Fortalecimiento Y Actualización En Materia De Movilidad Y Seguridad Vial  Puerto Triunfo;Viable;2025 - 2025;77866750,00;1
Territorio;Educación;Murindó,Antioquia;202500000011362;Estudios Y Diseños Para La Construcción De La Nueva Etapa Del Liceo En El Municipio De  Murindó;En Ejecución;2025 - 2025;72000000,00;1
Territorio;Deporte Y Recreación;San Pedro de Urabá,Antioquia;202500000011331;Construcción  Y Mantenimiento De Escenarios Deportivos Para El Desarrollo De Deportistas En El Municipio De  San Pedro De Urabá, Antioquia;En Ejecución;2025 - 2025;100000000,00;1
Territorio;Vivienda, Ciudad Y Territorio;San Pedro de Urabá,Antioquia;202500000011304;Construcción De Alcantarillado En El Municipio De San Pedro De  San Pedro De Urabá, Antioquia;En Ejecución;2025 - 2025;600000000,00;1
Territorio;Vivienda, Ciudad Y Territorio;Apartadó,Antioquia;202500000011259;Elaboración  De Estudios Y Diseños Para Proyectos De Inversión En El Municipio De   Apartadó;En Ejecución;2025 - 2025;1000000000,00;1
Territorio;Inclusión Social Y Reconciliación;Murindó,Antioquia;202500000011215;Formulación De La Política Pública De Infancia Y Adolescencia Para El Municipio De  Murindó;En Ejecución;2025 - 2025;38500000,00;1
Territorio;Gobierno Territorial;Puerto Triunfo,Antioquia;202500000011073;Apoyo A Los Programas Para La Gestión Del Riesgo De Desastres En El Área Urbana Y Rural Del Municipio De Puerto Triunfo  Puerto Triunfo;Viable;2025 - 2027;370000000,00;1
Territorio;Deporte Y Recreación;Puerto Triunfo,Antioquia;202500000011066;Desarrollo Fomento Y Fortalecimiento De Los Procesos, Actividades Deportivas Y Recreativas Promovidas Por La Administración Municipal De   Puerto Triunfo, Antioquia;Viable;2025 - 2028;948500000,00;1
